고객번호	이름	거주지역	담당구역	성별	월평균매출액	고객분류	회원가입일	
1001	최창식	경기	Area3	남	28000000 	우수고객	1998-12-12	
1002	박순지	충남	Area3	남	32500000 	우수고객	2002-10-05	
1003	박남철	서울	Areal1	남	18000000 	최우수고객	2001-11-12	
1004	강찬희	대전	Area3	남	9500000 	일반고객	2006-05-01	
1005	이상용	부산	Area2	남	39000000 	우수고객	1995-12-10	
1006	고순녀	경북	Area3	여	48000000 	우수고객	2001-05-01	
1007	유진아	대전	Area3	여	30800000 	우수고객	1995-12-05	
1008	김희정	서울	Areal1	여	285000000 	최우수고객	2002-05-10	
1009	최정숙	강원	Area3	여	36500000 	우수고객	2008-12-01	
1010	이경미	부산	Area2	여	45600000 	우수고객	2001-01-01	
1011	김기원	서울	Areal1	남	18000000 	최우수고객	2000-05-08	
1012	김형규	서울	Areal1	남	9700000 	일반고객	2007-05-08	
1013	정상봉	제주	Area3	남	20100000 	우수고객	2000-12-12	
								
